#1
ज्यायसी|jyāyasī|jyāyas — better, more excellent (comparative; nom. sg. fem., agreeing with buddhiḥ)
कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसंग्रहम्|kuryāt vidvān tathā asaktaḥ cikīrṣuḥ loka-saṃgraham|kṛ — to do, act (kuryāt: optative 3rd sg. 'should act'; -t + v- → -d v-);;vidvas — knowing, wise (vidvān: nom. sg. 'the wise man'; -n + t- → -ṃs t-);;tathā — likewise, so (tathā + a- → tathā-);;a-sakta — unattached (asaktaḥ: nom. sg.; -aḥ + c- → -aś c-);;kṛ — to do (cikīrṣu: desiderative adjective 'wishing to act, desiring to promote', cikīrṣuḥ: nom. sg.; -uḥ + l- → -ur l-);;loka — world (first compound member);;saṃgraha — holding-together, welfare (loka-saṃgraha: 'the world's welfare', acc. sg., object of cikīrṣuḥ)
#26
न|na|na — not
बुद्धिभेदं|buddhi-bhedam|buddhi — understanding (first compound member);;bheda — splitting, division, disturbance (buddhi-bheda: 'a disturbance of understanding', acc. sg.)
जनयेदज्ञानां|janayet ajñānām|jan — to cause to arise, produce (janayet: causative optative 3rd sg.; -t + a- → -d a-);;a-jña — not knowing, ignorant (ajñānām: gen. pl. 'of the ignorant')
कर्मसङ्गिनाम्|karma-saṅginām|karman — action (first compound member);;saṅgin — attached, clinging (karma-saṅgin: 'attached to action', gen. pl.)
--
जोषयेत्सर्वकर्माणि|joṣayet sarva-karmāṇi|juṣ — to delight in, engage in (joṣayet: causative optative 3rd sg. 'should cause to delight in, should encourage');;sarva — all (first compound member);;karman — action (sarva-karmāṇi: acc. pl. 'all actions')
विद्वान्युक्तः|vidvān yuktaḥ|vidvas — knowing, wise (vidvān: nom. sg. 'the wise man');;yuj — to join, discipline (yukta: past participle 'disciplined, joined [in yoga]', yuktaḥ: nom. sg.)
समाचरन्|samācaran|sam-ā-car — to perform (samācaran: present participle, nom. sg. 'performing')
#27
प्रकृतेः|prakṛteḥ|prakṛti — nature (gen. sg. 'of nature')
क्रियमाणानि|kriyamāṇāni|kṛ — to do (kriyamāṇa: present passive participle 'being done', nom. pl. neut.)
गुणैः|guṇaiḥ|guṇa — one of the three guṇas (instr. pl.; kept untranslated per convention)
कर्माणि|karmāṇi|karman — action (nom. pl.)
सर्वशः|sarvaśaḥ|sarvaśaḥ — in every way, wholly (adverb)
--
अहंकारविमूढात्मा|ahaṃkāra-vimūḍha-ātmā|ahaṃkāra — ego, the sense of 'I' (first compound member);;vimūḍha — deluded, confused (second compound member);;ātman — self, mind (ahaṃkāra-vimūḍha-ātman: 'whose self is deluded by egoism', nom. sg.; -a + ā- → -ā-)
कर्ताहमिति|kartā aham iti|kṛ — to do (kartṛ: agent noun 'doer', kartā: nom. sg.; kartā + a- → kartā-);;aham — I (nom. sg.);;iti — thus (closing the quoted thought)
मन्यते|manyate|man — to think (manyate: present middle 3rd sg.)
#28
तत्त्ववित्तु|tattva-vit tu|tattva — truth, reality (first compound member);;vid — to know (vit: 'knowing', tattva-vit: 'knower of the truth', nom. sg.);;tu — but
महाबाहो|mahā-bāho|mahā — great (first compound member);;bāhu — arm (mahā-bāhu: 'mighty-armed one', vocative)
गुणकर्मविभागयोः|guṇa-karma-vibhāgayoḥ|guṇa — one of the three guṇas (first compound member; kept untranslated);;karman — action (second compound member);;vibhāga — distinction, division (guṇa-karma-vibhāga: 'the distinction between the guṇas and their actions', gen. dual)
--
गुणा|guṇāḥ|guṇa — one of the three guṇas (nom. pl.; kept untranslated; visarga dropped before g-)
गुणेषु|guṇeṣu|guṇa — one of the three guṇas (loc. pl.; kept untranslated per convention)
वर्तन्त|vartante|vṛt — to act, operate (vartante: present middle 3rd pl.; -e + i- → -a i-)
इति|iti|iti — thus (closing the quoted thought)
मत्वा|matvā|man — to think (matvā: gerund 'having thought, considering')
न|na|na — not
सज्जते|sajjate|sañj — to cling, become attached (sajjate: present middle 3rd sg.)
#29
प्रकृतेर्गुणसंमूढाः|prakṛteḥ guṇa-saṃmūḍhāḥ|prakṛti — nature (prakṛteḥ: gen. sg.; -eḥ + g- → -er g-);;guṇa — one of the three guṇas (first compound member; kept untranslated);;saṃmūḍha — deluded, confused (guṇa-saṃmūḍha: 'deluded by the guṇas', nom. pl.)
सज्जन्ते|sajjante|sañj — to cling, become attached (sajjante: present middle 3rd pl.)
गुणकर्मसु|guṇa-karmasu|guṇa — one of the three guṇas (first compound member; kept untranslated);;karman — action (guṇa-karman: 'the actions of the guṇas', loc. pl.)
--
तानकृत्स्नविदो|tān akṛtsna-vidaḥ|tad — that, they (tān: acc. pl. masc.);;a-kṛtsna — not whole, incomplete (first compound member);;vid — knowing (akṛtsna-vid: 'of incomplete knowledge', vidaḥ: acc. pl.; visarga before m- → -o)
मन्दान्कृत्स्नविन्न|mandān kṛtsna-vit na|manda — dull, slow-witted (mandān: acc. pl.);;kṛtsna — whole, entire (first compound member);;vid — knowing (kṛtsna-vit: 'one of complete knowledge', nom. sg.; -t + n- → -n n-);;na — not
विचालयेत्|vicālayet|vi-cal — to shake, waver (vicālayet: causative optative 3rd sg. 'should cause to waver, should unsettle')
#30
मयि|mayi|aham — I (mayi: loc. sg. 'in me')
सर्वाणि|sarvāṇi|sarva — all (acc. pl.)
कर्माणि|karmāṇi|karman — action (acc. pl.)
संन्यस्याध्यात्मचेतसा|saṃnyasya adhyātma-cetasā|sam-ni-as — to lay down, surrender (saṃnyasya: gerund 'having laid down'; saṃnyasya + a- → saṃnyasyā-);;adhyātma — pertaining to the self, concerning the supreme self (first compound member);;cetas — mind (adhyātma-cetas: 'with a mind fixed on the self', instr. sg.)
--
निराशीर्निर्ममो|nirāśīḥ nirmamaḥ|nir-āśis — free from desire, without expectation (nirāśīḥ: nom. sg.; -īḥ + n- → -īr n-);;nir-mama — free from the sense of 'mine' (nirmamaḥ: nom. sg.; visarga before bh- → -o)
भूत्वा|bhūtvā|bhū — to become (bhūtvā: gerund 'having become')
युध्यस्व|yudhyasva|yudh — to fight (yudhyasva: imperative middle 2nd sg. 'fight!')
विगतज्वरः|vigata-jvaraḥ|vi-gam — to depart, go away (vigata: past participle 'gone, departed', first compound member);;jvara — fever, anguish (vigata-jvara: 'free from the fever [of anguish]', nom. sg.)
#31
ये|ye|yad — who (nom. pl. relative)
मे|me|aham — I (me: enclitic gen. sg. 'my')
मतमिदं|matam idam|man — to think (mata: 'opinion, doctrine', matam: acc. sg. neut.);;idam — this (acc. sg. neut.)
नित्यमनुतिष्ठन्ति|nityam anutiṣṭhanti|nitya — constant (nityam: adverbial acc. 'constantly');;anu-sthā — to practice, follow, carry out (anutiṣṭhanti: present 3rd pl.)
मानवाः|mānavāḥ|mānava — a man, a human being (nom. pl.)
--
श्रद्धावन्तोऽनसूयन्तो|śraddhāvantaḥ anasūyantaḥ|śraddhā-vant — possessed of faith, faithful (śraddhāvantaḥ: nom. pl.; -aḥ + a- → -o with avagraha);;an-asūyant — not carping, free from envy or fault-finding (anasūyantaḥ: present participle nom. pl.; visarga before m- → -o)
मुच्यन्ते|mucyante|muc — to release (mucyante: present passive 3rd pl. 'are freed')
तेऽपि|te api|tad — that, they (te: nom. pl.; -e + a- → -e with avagraha);;api — also, even
कर्मभिः|karmabhiḥ|karman — action (instr. pl. 'from actions')
#32
ये|ye|yad — who (nom. pl. relative)
त्वेतदभ्यसूयन्तो|tu etat abhyasūyantaḥ|tu — but (tu + e- → tve-);;etad — this (etat: acc. sg. neut.; -t + a- → -d a-);;abhi-asūy — to carp at, find fault with (abhyasūyantaḥ: present participle, nom. pl.; visarga before n- → -o)
नानुतिष्ठन्ति|na anutiṣṭhanti|na — not (na + a- → nā-);;anu-sthā — to follow, practice (anutiṣṭhanti: present 3rd pl.)
मे|me|aham — I (me: enclitic gen. sg. 'my')
मतम्|matam|man — to think (mata: 'opinion, doctrine', matam: acc. sg. neut.)
--
सर्वज्ञानविमूढांस्तान्विद्धि|sarva-jñāna-vimūḍhān tān viddhi|sarva — all (first compound member);;jñāna — knowledge (second compound member);;vimūḍha — deluded, confused (sarva-jñāna-vimūḍha: 'deluded in all knowledge', acc. pl.; -n + t- → -ṃs t-);;tad — that, they (tān: acc. pl.);;vid — to know (viddhi: imperative 2nd sg. 'know!')
नष्टानचेतसः|naṣṭān acetasaḥ|naś — to be lost, perish (naṣṭa: past participle 'lost, ruined', naṣṭān: acc. pl.);;a-cetas — senseless, without understanding (acetasaḥ: acc. pl.)
#33
सदृशं|sadṛśam|sadṛśam — in accordance with, similar to (adverbial acc.)
चेष्टते|ceṣṭate|ceṣṭ — to act, strive, behave (ceṣṭate: present middle 3rd sg.)
स्वस्याः|svasyāḥ|sva — one's own (svasyāḥ: gen. sg. fem., agreeing with prakṛteḥ)
प्रकृतेर्ज्ञानवानपि|prakṛteḥ jñānavān api|prakṛti — nature (prakṛteḥ: gen. sg.; -eḥ + j- → -er j-);;jñāna-vant — possessed of knowledge, learned (jñānavān: nom. sg.);;api — even
--
प्रकृतिं|prakṛtim|prakṛti — nature (acc. sg., object of yānti)
यान्ति|yānti|yā — to go, follow (yānti: present 3rd pl.)
भूतानि|bhūtāni|bhūta — being, creature (nom. pl.)
निग्रहः|nigrahaḥ|ni-grah — to restrain, suppress (nigraha: 'restraint, suppression', nom. sg.)
किं|kim|kim — what?
करिष्यति|kariṣyati|kṛ — to do, accomplish (kariṣyati: future 3rd sg. 'will accomplish')
#34
इन्द्रियस्येन्द्रियस्यार्थे|indriyasya indriyasya arthe|indriya — a sense (indriyasya: gen. sg., repeated distributively 'of each and every sense'; -a + i- → -e-);;artha — object (arthe: loc. sg. 'in its object'; -a + a- → -ā-)
रागद्वेषौ|rāga-dveṣau|rāga — passion, attraction (first compound member);;dveṣa — aversion, hatred (rāga-dveṣa: 'passion and aversion', nom. dual)
व्यवस्थितौ|vyavasthitau|vi-ava-sthā — to be fixed, established (vyavasthita: past participle, nom. dual)
--
तयोर्न|tayoḥ na|tad — that, they (tayoḥ: gen. dual, referring to rāga and dveṣa; -oḥ + n- → -or n-);;na — not
वशमागच्छेत्तौ|vaśam āgacchet tau|vaśa — control, power (vaśam: acc. sg., object of āgacchet);;ā-gam — to come under, fall under (āgacchet: optative 3rd sg. 'should come under'; āgacchet + t- → āgacchett-);;tad — that, they (tau: nom./acc. dual 'these two')
ह्यस्य|hi asya|hi — for, indeed (hi + a- → hy a-);;idam — this, he (asya: gen. sg. 'his')
परिपन्थिनौ|paripanthinau|pari-panthin — one who lies in wait on the road, an ambusher (nom. dual, 'the two waylayers')
#35
श्रेयान्स्वधर्मो|śreyān sva-dharmaḥ|śreyas — better (comparative; śreyān: nom. sg. masc.);;sva — one's own (first compound member);;dharma — dharma, duty (sva-dharma: 'one's own dharma', nom. sg.; visarga before v- → -o)
विगुणः|viguṇaḥ|vi-guṇa — deficient, lacking merit, imperfectly performed (nom. sg.)
परधर्मात्स्वनुष्ठितात्|para-dharmāt su-anuṣṭhitāt|para — other (first compound member);;dharma — dharma, duty (para-dharma: 'another's dharma', abl. sg. 'than another's dharma');;su — well (first compound member);;anu-sthā — to perform, practice (anuṣṭhita: past participle 'performed', su-anuṣṭhita: 'well-performed', abl. sg.; su + a- → sva-)
--
स्वधर्मे|svadharme|sva — one's own (first compound member);;dharma — dharma, duty (sva-dharma: loc. sg. 'in one's own dharma')
निधनं|nidhanam|nidhana — death, destruction (nom. sg. neut.)
श्रेयः|śreyaḥ|śreyas — better (nom. sg. neut.)
परधर्मो|paradharmaḥ|para — other (first compound member);;dharma — dharma, duty (para-dharma: 'another's dharma', nom. sg.; visarga before bh- → -o)
भयावहः|bhaya-āvahaḥ|bhaya — fear, danger (first compound member);;āvaha — bringing, causing (bhaya-āvaha: 'danger-bringing', nom. sg.)
#36
अथ|atha|atha — now, then
केन|kena|kim — what? (kena: instr. sg.)
प्रयुक्तोऽयं|prayuktaḥ ayam|pra-yuj — to impel, drive (prayukta: past participle 'impelled, urged', nom. sg.; -aḥ + a- → -o with avagraha);;idam — this (ayam: nom. sg. masc.)
पापं|pāpam|pāpa — sin, evil (acc. sg.)
चरति|carati|car — to do, commit (carati: present 3rd sg.)
पूरुषः|pūruṣaḥ|puruṣa — a man, a person (nom. sg.; epic variant spelling)
--
अनिच्छन्नपि|anicchan api|an-icchant — not wishing, unwilling (anicchan: present participle, nom. sg.; -n + a- written -nn-);;api — even
वार्ष्णेय|vārṣṇeya|Vārṣṇeya — 'descendant of Vṛṣṇi', Kṛṣṇa (vocative)
बलादिव|balāt iva|bala — force, strength (balāt: abl. sg. 'by force'; -āt + i- → -ād i-);;iva — as if, as it were
नियोजितः|niyojitaḥ|ni-yuj — to impel, compel (niyojita: causative past participle 'compelled, impelled', nom. sg.)
#37
काम|kāmaḥ|kāma — desire (nom. sg.; visarga elided before e-)
एष|eṣaḥ|idam — this (eṣaḥ: nom. sg. masc.; like the pronoun sa, eṣa/etad irregularly drops its visarga before any consonant, here k-)
क्रोध|krodhaḥ|krodha — anger (nom. sg.; visarga elided before e-)
एष|eṣaḥ|idam — this (eṣaḥ: nom. sg. masc.; like the pronoun sa, eṣa/etad irregularly drops its visarga before any consonant, here r-)
रजोगुणसमुद्भवः|rajaḥ-guṇa-samudbhavaḥ|rajas — rajas, the guṇa of passion and activity (rajaḥ: first compound member; kept untranslated as guṇa-vocabulary; -aḥ + g- → -o g-);;guṇa — guṇa (second compound member);;samudbhava — arising, born of (rajo-guṇa-samudbhava: 'born of the guṇa rajas', nom. sg.)
--
महाशनो|mahā-aśanaḥ|mahā — great (first compound member; mahā + a- → mahā-);;aśana — eater, devourer (mahā-aśana: 'great devourer, insatiable', nom. sg.; visarga before m- → -o)
महापाप्मा|mahā-pāpmā|mahā — great (first compound member);;pāpman — sin, evil (mahā-pāpman: 'greatly sinful', nom. sg.)
विद्ध्येनमिह|viddhi enam iha|vid — to know (viddhi: imperative 2nd sg. 'know!'; -i + e- → -y e-);;idam — this, it (enam: acc. sg. masc.);;iha — here, in this matter
वैरिणम्|vairiṇam|vairin — enemy (acc. sg.)
#38
धूमेनाव्रियते|dhūmena āvriyate|dhūma — smoke (dhūmena: instr. sg. 'by smoke'; dhūmena + ā- → dhūmenā-);;ā-vṛ — to cover, envelop (āvriyate: present passive 3rd sg. 'is covered')
वह्निर्यथादर्शो|vahniḥ yathā ādarśaḥ|vahni — fire (nom. sg.; -iḥ + y- → -ir y-);;yathā — just as (yathā + ā- → yathā-);;ādarśa — mirror (ādarśaḥ: nom. sg.; visarga before m- → -o)
मलेन|malena|mala — dust, dirt, tarnish (instr. sg.)
च|ca|ca — and
--
यथोल्बेनावृतो|yathā ulbena āvṛtaḥ|yathā — just as (yathā + u- → yatho-);;ulba — the caul, amnion (ulbena: instr. sg. 'by the caul'; ulbena + ā- → ulbenā-);;ā-vṛ — to cover (āvṛta: past participle 'covered', nom. sg.; visarga before g- → -o)
गर्भस्तथा|garbhaḥ tathā|garbha — embryo, fetus, womb (nom. sg.; -aḥ + t- → -as t-);;tathā — so, likewise
तेनेदमावृतम्|tena idam āvṛtam|tad — that (tena: instr. sg. 'by that'; tena + i- → tene-);;idam — this (nom. sg. neut.);;ā-vṛ — to cover (āvṛta: past participle, nom. sg. neut. 'covered'; idam + ā- → idamā-)
#39
आवृतं|āvṛtam|ā-vṛ — to cover (āvṛta: past participle, nom. sg. neut. 'covered')
ज्ञानमेतेन|jñānam etena|jñāna — knowledge (nom. sg. neut.);;idam — this (etena: instr. sg. 'by this')
ज्ञानिनो|jñāninaḥ|jñānin — one who knows, a wise man (gen. sg.; visarga before n- → -o)
नित्यवैरिणा|nitya-vairiṇā|nitya — eternal, constant (first compound member);;vairin — enemy (nitya-vairin: 'constant enemy', instr. sg.)
--
कामरूपेण|kāma-rūpeṇa|kāma — desire (first compound member);;rūpa — form, shape (kāma-rūpa: 'having the form of desire', instr. sg.)
कौन्तेय|kaunteya|Kaunteya — son of Kuntī, Arjuna (vocative)
दुष्पूरेणानलेन|duṣpūreṇa analena|duṣ-pūra — hard to fill, insatiable (duṣpūreṇa: instr. sg.; duṣpūreṇa + a- → duṣpūreṇā-);;anala — fire (analena: instr. sg.)
च|ca|ca — and
#40
इन्द्रियाणि|indriyāṇi|indriya — sense (nom. pl.)
मनो|manaḥ|manas — mind (nom. sg. neut.; visarga before b- → -o)
बुद्धिरस्याधिष्ठानमुच्यते|buddhiḥ asya adhiṣṭhānam ucyate|buddhi — understanding (nom. sg.; -iḥ + a- → -ir a-);;idam — this, it (asya: gen. sg., referring to kāma, 'its'; asya + a- → asyā-);;adhi-sthā — to stand upon (adhiṣṭhāna: 'seat, abode, basis', nom. sg. neut.);;vac — to speak, call (ucyate: present passive 3rd sg. 'is called')
--
एतैर्विमोहयत्येष|etaiḥ vimohayati eṣaḥ|etad — this (etaiḥ: instr. pl. 'by these'; -aiḥ + v- → -air v-);;vi-muh — to delude, confuse utterly (vimohayati: causative present 3rd sg.; -i + e- → -y e-);;idam — this (eṣaḥ: nom. sg. masc., referring to kāma; like sa, eṣa/etad irregularly drops its visarga before the following consonant j-, rather than becoming -o)
ज्ञानमावृत्य|jñānam āvṛtya|jñāna — knowledge (acc. sg., object of āvṛtya);;ā-vṛ — to cover (āvṛtya: gerund 'having covered')
देहिनम्|dehinam|dehin — the embodied one (acc. sg.)
#41
तस्मात्त्वमिन्द्रियाण्यादौ|tasmāt tvam indriyāṇi ādau|tad — that (tasmāt: abl. sg. 'therefore'; -t + t- → -t t-);;tvam — you (nom. sg.);;indriya — sense (indriyāṇi: acc. pl.; -i + ā- → -y ā-);;ādi — beginning (ādau: loc. sg. 'at the outset, first')
नियम्य|niyamya|ni-yam — to restrain (niyamya: gerund 'having restrained')
भरतर्षभ|bharata-ṛṣabha|Bharata — Bharata (first compound member);;ṛṣabha — bull (bharata-ṛṣabha: 'bull among the Bharatas', vocative; -a + ṛ- → -ar-)
--
पाप्मानं|pāpmānam|pāpman — sin, the sinful (acc. sg.)
प्रजहि|prajahi|pra-han — to strike down, slay (prajahi: imperative 2nd sg. 'strike down!')
ह्येनं|hi enam|hi — indeed (hi + e- → hy e-);;idam — this, it (enam: acc. sg. masc.)
ज्ञानविज्ञाननाशनम्|jñāna-vijñāna-nāśanam|jñāna — knowledge (first compound member);;vijñāna — discernment, special knowledge (second compound member);;nāśana — destroyer (jñāna-vijñāna-nāśana: 'destroyer of knowledge and discernment', acc. sg.)
#42
इन्द्रियाणि|indriyāṇi|indriya — sense (acc. pl., object of āhuḥ)
पराण्याहुरिन्द्रियेभ्यः|parāṇi āhuḥ indriyebhyaḥ|para — higher, superior (parāṇi: acc. pl.; -i + ā- → -y ā-);;ah — to say (āhuḥ: perfect 3rd pl. used as present, 'they say'; -uḥ + i- → -ur i-);;indriya — sense (indriyebhyaḥ: abl. pl. 'than the senses')
परं|param|para — higher (acc. sg. neut.)
मनः|manaḥ|manas — mind (acc. sg. neut.)
--
मनसस्तु|manasaḥ tu|manas — mind (manasaḥ: abl. sg. 'than the mind'; -aḥ + t- → -as t-);;tu — but, and
परा|parā|para — higher (nom. sg. fem., agreeing with buddhiḥ)
बुद्धिर्यो|buddhiḥ yaḥ|buddhi — understanding (nom. sg.; -iḥ + y- → -ir y-);;yad — who (yaḥ: nom. sg. masc. relative)
बुद्धेः|buddheḥ|buddhi — understanding (abl. sg. 'than understanding')
परतस्तु|parataḥ tu|parataḥ — higher, beyond (adverbial abl.; -aḥ + t- → -as t-);;tu — but
सः|saḥ|tad — that, he (nom. sg. masc., i.e. the self)
#43
एवं|evam|evam — thus
बुद्धेः|buddheḥ|buddhi — understanding (abl. sg. 'than understanding')
परं|param|para — higher, beyond (acc. sg. neut., referring to the self)
बुद्ध्वा|buddhvā|budh — to know, understand (buddhvā: gerund 'having known')
संस्तभ्यात्मानमात्मना|saṃstabhya ātmānam ātmanā|sam-stambh — to steady, make firm (saṃstabhya: gerund 'having steadied'; saṃstabhya + ā- → saṃstabhyā-);;ātman — self (ātmānam: acc. sg. 'the self');;ātman — self (ātmanā: instr. sg. 'by the self')
--
जहि|jahi|han — to slay (jahi: imperative 2nd sg. 'slay!')
शत्रुं|śatrum|śatru — enemy (acc. sg.)
महाबाहो|mahā-bāho|mahā — great (first compound member);;bāhu — arm (mahā-bāhu: 'mighty-armed one', vocative)
कामरूपं|kāma-rūpam|kāma — desire (first compound member);;rūpa — form (kāma-rūpa: 'having the form of desire', acc. sg., agreeing with śatrum)
दुरासदम्|durāsadam|dur-āsada — hard to approach, hard to overcome (acc. sg.)
